sentence,emoji,label
This is making me furious!,😡,6
Thinking deeply right now,🤔,5
"Really, I’m deeply in love",❤️,0
I feel like let me think,🤔,5
Victory is ours,🎉,4
"Wow, Why would you do that",😡,6
I feel like oh my gosh,😱,9
"Really, This news is shocking",😱,9
I miss those days so much,😢,3
Absolutely such a tasty treat,😋,8
Funniest thing I've seen today today,😂,2
Absolutely this news is shocking,😱,9
Let’s dance and celebrate!,🎉,4
"Really, Victory is ours",🎉,4
LOL that’s hilarious!,😂,2
I’m mad at you today,😡,6
I love this dish,😋,8
"Really, This situation is infuriating",😡,6
Absolutely best food ever,😋,8
I’m analyzing the situation right now,🤔,5
I lost something dear right now,😢,3
"Really, Tasting heaven right now",😋,8
You made my day all day,😂,2
I feel like this scared the life out of me,😱,9
This is mouth-watering so much,😋,8
I miss those days all day,😢,3
I’m losing my temper all day,😡,6
Absolutely laughing so hard right now,😂,2
"Wow, My love for you grows daily",❤️,0
"Wow, I’m frozen in fear",😱,9
"Wow, Everything feels wrong",😢,3
I’m mad at you,😡,6
This is horrifying all day,😱,9
"Really, Let’s celebrate together",🎉,4
Feeling lazy and sleepy!,😴,1
"Really, I’m losing my temper",😡,6
This makes me wonder!,🤔,5
"Wow, Time to pop the champagne",🎉,4
Absolutely i can’t process this,😱,9
I feel like so delicious,😋,8
This is making me furious today,😡,6
Oh my gosh today,😱,9
Stop annoying me today,😡,6
This situation is infuriating right now,😡,6
"Wow, This scared the life out of me",😱,9
I feel like i’m astonished,😱,9
Style game strong,😎,7
I’m on top of the world!,😎,7
Absolutely yawning all day,😴,1
Funniest thing I've seen today,😂,2
Absolutely i laughed out loud,😂,2
Thinking deeply all day,🤔,5
Everything feels wrong!,😢,3
"Wow, Such a lovely day",❤️,0
Absolutely i’m frozen in fear,😱,9
"Wow, I’m frozen in fear",😱,9
Exhausted and drowsy!,😴,1
This is pure happiness right now,❤️,0
"Wow, This is horrifying",😱,9
"Wow, This is making me furious",😡,6
I’m analyzing the situation all day,🤔,5
This is unacceptable so much,😡,6
Too sleepy to focus today,😴,1
Tears won’t stop coming today,😢,3
I feel like looking sharp,😎,7
"Really, Let’s party tonight",🎉,4
I’m so shocked today,😱,9
I feel like this is unacceptable,😡,6
My love for you grows daily,❤️,0
I’m so angry right now!,😡,6
"Really, Feeling down today",😢,3
Everything feels wrong!,😢,3
I’m deeply in love today,❤️,0
Absolutely i lost something dear,😢,3
I feel like that was so funny,😂,2
I’m mad at you!,😡,6
I feel like this is pure swag,😎,7
I can’t believe this happened all day,😡,6
Absolutely enjoying the party vibes,🎉,4
Can’t stop eating this all day,😋,8
Time to pop the champagne all day,🎉,4
Cheers to success all day,🎉,4
My eyes are closing today,😴,1
"Wow, Pondering over this idea",🤔,5
"Really, Laughing so hard right now",😂,2
"Wow, We did it",🎉,4
I can’t believe this today,😱,9
"Really, This is horrifying",😱,9
My jaw dropped right now,😱,9
I feel like my heart is broken,😢,3
Yawning all day all day,😴,1
This is heartbreaking,😢,3
This joke is gold so much,😂,2
Absolutely i overslept again,😴,1
Congratulations so much,🎉,4
I'm feeling sleepy so much,😴,1
Let’s party tonight!,🎉,4
I feel like so flavorful and rich,😋,8
Absolutely look at my style,😎,7
Let me take a nap all day,😴,1
This is heartbreaking,😢,3
I’m craving more right now,😋,8
Absolutely living my best life,😎,7
This makes me wonder all day,🤔,5
I’m falling asleep here all day,😴,1
Absolutely this is pure happiness,❤️,0
Can't keep my eyes open!,😴,1
Such a sad story so much,😢,3
Comedy at its best today,😂,2
I feel like too sleepy to focus,😴,1
Absolutely i’m in deep thought,🤔,5
I can’t stop loving this!,❤️,0
Too cool to handle so much,😎,7
This scared the life out of me,😱,9
This is my favorite thing so much,❤️,0
You made my day!,😂,2
This makes me wonder!,🤔,5
Party all night long!,🎉,4
We did it all day,🎉,4
You’re so funny!,😂,2
I need to decide all day,🤔,5
"Really, Let me take a nap",😴,1
"Wow, I’m in deep thought",🤔,5
I lost something dear!,😢,3
Absolutely i’m feeling cool today,😎,7
"Really, This joke is gold",😂,2
My jaw dropped!,😱,9
I feel like i’m craving more,😋,8
Should I go for it!,🤔,5
"Wow, I adore this",❤️,0
I’m mad at you!,😡,6
I’m deeply in love right now,❤️,0
"Really, Tasting heaven right now",😋,8
"Wow, Laughing so hard right now",😂,2
"Wow, Too sleepy to focus",😴,1
I feel like i adore this,❤️,0
Crying inside!,😢,3
I feel like can’t stop eating this,😋,8
That’s awesome today,😎,7
Let’s party tonight,🎉,4
"Really, I overslept again",😴,1
I feel like this is pure happiness,❤️,0
Everything feels wrong today,😢,3
I’m in love with coding all day,❤️,0
This is mouth-watering all day,😋,8
I’m analyzing the situation!,🤔,5
My heart belongs to you so much,❤️,0
Absolutely oh my gosh,😱,9
I’m falling asleep here today,😴,1
I can’t stop loving this so much,❤️,0
I just want to sleep right now,😴,1
This is my favorite thing,❤️,0
I feel like let’s dance and celebrate,🎉,4
"Wow, Everything feels wrong",😢,3
I feel like crying inside,😢,3
That’s the funniest thing ever all day,😂,2
Too cool to handle today,😎,7
"Wow, This is frustrating",😡,6
Absolutely that’s the funniest thing ever,😂,2
Happy birthday!,🎉,4
Party all night long all day,🎉,4
I feel like so delicious,😋,8
I’m mad at you today,😡,6
"Wow, Party all night long",🎉,4
I adore this all day,❤️,0
This is unacceptable so much,😡,6
"Wow, Such a lovely day",❤️,0
"Really, Comedy at its best",😂,2
I’m frozen in fear today,😱,9
"Wow, That was so funny",😂,2
This is pure swag,😎,7
I’m analyzing the situation right now,🤔,5
New year celebration today,🎉,4
Sending you my love today,❤️,0
Absolutely comedy at its best,😂,2
Let me take a nap,😴,1
I’m so angry right now all day,😡,6
Too sleepy to focus,😴,1
"Really, I’m craving more",😋,8
Absolutely i overslept again,😴,1
Absolutely funniest thing i've seen today,😂,2
"Wow, Oh my gosh",😱,9
"Really, This is pure happiness",❤️,0
Let’s celebrate together all day,🎉,4
Bed is calling me all day,😴,1
"Really, So tired after work",😴,1
Pondering over this idea so much,🤔,5
This makes me wonder all day,🤔,5
I laughed out loud so much,😂,2
This question is tricky today,🤔,5
Happy birthday today,🎉,4
I feel like i need a nap,😴,1
"Wow, Tears won’t stop coming",😢,3
"Wow, I’m astonished",😱,9
LOL that’s hilarious all day,😂,2
I miss those days!,😢,3
I’m so angry right now!,😡,6
This joke is gold so much,😂,2
"Wow, I miss those days",😢,3
Absolutely i overslept again,😴,1
I’m frozen in fear so much,😱,9
Absolutely this is pure swag,😎,7
I feel like this is too funny,😂,2
My eyes are closing!,😴,1
I miss those days,😢,3
I feel like happy birthday,🎉,4
Best celebration ever so much,🎉,4
Absolutely we did it,🎉,4
Absolutely pondering over this idea,🤔,5
Rocking the cool vibes today,😎,7
I feel like sadness fills my heart,😢,3
Happy birthday!,🎉,4
I’m feeling awesome so much,😎,7
We did it today,🎉,4
Absolutely you made my day,😂,2
"Wow, It’s a tough choice",🤔,5
This is pure happiness right now,❤️,0
"Wow, Can't keep my eyes open",😴,1
Absolutely you crack me up,😂,2
"Really, Can't keep my eyes open",😴,1
This is making me mad so much,😡,6
I feel like love is in the air,❤️,0
I need to decide all day,🤔,5
Such a tasty treat so much,😋,8
I feel so irritated,😡,6
I feel like this is pure swag,😎,7
Bed is calling me right now,😴,1
Absolutely i lost something dear,😢,3
This is pure happiness today,❤️,0
Rocking the cool vibes!,😎,7
Absolutely pondering over this idea,🤔,5
This makes me happy so much,❤️,0
I overslept again right now,😴,1
Absolutely you’re my everything,❤️,0
Thinking deeply right now,🤔,5
I’m falling asleep here,😴,1
"Wow, Rocking the cool vibes",😎,7
I feel like bed is calling me,😴,1
"Really, This is making me furious",😡,6
You crossed the line,😡,6
We did it!,🎉,4
"Really, Enjoying the party vibes",🎉,4
I’m terrified all day,😱,9
I feel like this joke is gold,😂,2
Rocking the cool vibes right now,😎,7
I feel like feeling hopeless,😢,3
Life feels so heavy today,😢,3
I’m curious about that all day,🤔,5
Absolutely this is super stylish,😎,7
My love for you grows daily!,❤️,0
So delicious,😋,8
"Wow, What should I do next",🤔,5
This situation is infuriating so much,😡,6
My heart is broken all day,😢,3
Oh my gosh today,😱,9
I miss those days all day,😢,3
Absolutely too cool to handle,😎,7
This is pure swag!,😎,7
New year celebration all day,🎉,4
"Really, That’s awesome",😎,7
That was so funny today,😂,2
Absolutely i feel lonely,😢,3
This is super stylish today,😎,7
"Really, I need to decide",🤔,5
"Wow, That was so funny",😂,2
I’m astonished all day,😱,9
Absolutely happy birthday,🎉,4
Look at my style today,😎,7
I’m boiling with anger so much,😡,6
I feel like this is making me furious,😡,6
"Really, Let’s dance and celebrate",🎉,4
Style game strong,😎,7
"Really, Feeling like a boss",😎,7
"Really, New year celebration",🎉,4
Absolutely this is my favorite thing,❤️,0
I feel like you’re my everything,❤️,0
I’m thinking about it right now,🤔,5
I can’t stand this anymore so much,😡,6
Absolutely feeling down today,😢,3
I feel like this is heartbreaking,😢,3
"Wow, Look at my style",😎,7
I’m mad at you so much,😡,6
Absolutely let’s party tonight,🎉,4
"Wow, I’m astonished",😱,9
Rocking the cool vibes right now,😎,7
"Really, We did it",🎉,4
Happy birthday so much,🎉,4
This makes me wonder,🤔,5
Stop annoying me,😡,6
I laughed out loud all day,😂,2
You’re so funny right now,😂,2
I feel like new year celebration,🎉,4
I’m frozen in fear so much,😱,9
Time to pop the champagne,🎉,4
"Wow, This is making me mad",😡,6
This is horrifying!,😱,9
Pondering over this idea!,🤔,5
Absolutely i need a nap,😴,1
This question is tricky today,🤔,5
Absolutely can't keep my eyes open,😴,1
Absolutely living my best life,😎,7
Absolutely i can’t stand this anymore,😡,6
Tasting heaven right now today,😋,8
Let me take a nap so much,😴,1
Best food ever today,😋,8
My love for you grows daily!,❤️,0
"Really, I can’t stop laughing",😂,2
"Wow, I’m feeling cool today",😎,7
I feel like i’m so shocked,😱,9
So delicious,😋,8
I feel like i’m curious about that,🤔,5
"Really, I can’t believe this",😱,9
Yummy food,😋,8
Laughing so hard right now all day,😂,2
Such a shocking moment!,😱,9
"Really, Let’s celebrate together",🎉,4
I feel like this makes me wonder,🤔,5
I feel like feeling lazy and sleepy,😴,1
This is mouth-watering!,😋,8
This situation is infuriating!,😡,6
I feel like this joke is gold,😂,2
I feel like i’m terrified,😱,9
"Wow, You mean so much to me",❤️,0
"Wow, Too sleepy to focus",😴,1
This calls for a party right now,🎉,4
Too sleepy to focus,😴,1
I’m not sure about this all day,🤔,5
Too sleepy to focus,😴,1
Comedy at its best,😂,2
This is horrifying today,😱,9
Pondering over this idea so much,🤔,5
"Wow, So tired after work",😴,1
Absolutely feeling like a boss,😎,7
So flavorful and rich so much,😋,8
Can't keep my eyes open so much,😴,1
I am so sad all day,😢,3
"Really, Too cool to handle",😎,7
Absolutely feeling hopeless,😢,3
I feel like this is making me furious,😡,6
Absolutely tears won’t stop coming,😢,3
That was so funny all day,😂,2
Absolutely i’m curious about that,🤔,5
This is pure happiness today,❤️,0
This tastes amazing all day,😋,8
"Wow, I can’t believe this",😱,9
Too cool to handle today,😎,7
This is pure swag right now,😎,7
This is making me mad,😡,6
I am so sad all day,😢,3
"Really, Laughing so hard right now",😂,2
Absolutely i am so sad,😢,3
I feel like i’m curious about that,🤔,5
Too sleepy to focus today,😴,1
"Really, Yawning all day",😴,1
LOL that’s hilarious today,😂,2
Should I go for it all day,🤔,5
I lost something dear!,😢,3
I feel like best food ever,😋,8
This is pure swag so much,😎,7
I adore this all day,❤️,0
I’m in deep thought,🤔,5
I am so sad!,😢,3
Time to pop the champagne!,🎉,4
You crack me up all day,😂,2
You made my day right now,😂,2
Such a shocking moment right now,😱,9
This is pure happiness,❤️,0
I feel like it’s a tough choice,🤔,5
"Wow, This dessert is perfect",😋,8
Thinking deeply!,🤔,5
Tears won’t stop coming all day,😢,3
"Really, Sadness fills my heart",😢,3
Best food ever all day,😋,8
I feel so irritated right now,😡,6
I need a nap today,😴,1
New year celebration today,🎉,4
Absolutely you made my day,😂,2
Sadness fills my heart,😢,3
"Really, It’s a tough choice",🤔,5
Tears won’t stop coming all day,😢,3
"Wow, Feeling like a boss",😎,7
Stop annoying me today,😡,6
Too sleepy to focus all day,😴,1
LMAO I’m dying today,😂,2
I feel like tears won’t stop coming,😢,3
"Really, I overslept again",😴,1
"Really, I can’t stop laughing",😂,2
I’m so shocked today,😱,9
"Really, Delicious beyond words",😋,8
I adore this!,❤️,0
That’s awesome all day,😎,7
Style game strong so much,😎,7
Party all night long today,🎉,4
Let’s dance and celebrate right now,🎉,4
Bed is calling me!,😴,1
I feel like i can’t stop loving this,❤️,0
"Wow, Food makes me happy",😋,8
I’m so shocked right now,😱,9
I’m in total disbelief today,😱,9
Absolutely this tastes amazing,😋,8
I feel like let’s party tonight,🎉,4
Tasting heaven right now,😋,8
I can’t believe this right now,😱,9
Let me take a nap all day,😴,1
"Wow, Everything feels wrong",😢,3
"Wow, I laughed out loud",😂,2
I feel like delicious beyond words,😋,8
This is unbelievable all day,😱,9
"Really, My eyes are closing",😴,1
I adore this so much,❤️,0
I'm feeling sleepy all day,😴,1
I’m so angry right now,😡,6
Absolutely this makes me happy,❤️,0
"Wow, Bed is calling me",😴,1
"Wow, This is heartbreaking",😢,3
"Wow, I’m in total disbelief",😱,9
LMAO I’m dying!,😂,2
"Wow, I’m in deep thought",🤔,5
This is horrifying today,😱,9
We did it all day,🎉,4
This makes me happy right now,❤️,0
I’m deeply in love today,❤️,0
You crack me up,😂,2
"Really, I can’t stop laughing",😂,2
I need a nap all day,😴,1
"Wow, I miss those days",😢,3
Why would you do that today,😡,6
This dessert is perfect right now,😋,8
"Wow, Best celebration ever",🎉,4
My love for you grows daily all day,❤️,0
"Really, LMAO I’m dying",😂,2
This question is tricky so much,🤔,5
Cheers to success so much,🎉,4
I can’t stop loving this all day,❤️,0
Too sleepy to focus all day,😴,1
New year celebration today,🎉,4
Time to pop the champagne!,🎉,4
I feel like i love this dish,😋,8
"Really, LOL that’s hilarious",😂,2
I feel like that’s awesome,😎,7
It’s a tough choice right now,🤔,5
Funniest thing I've seen today all day,😂,2
Pondering over this idea!,🤔,5
I’m terrified!,😱,9
Let’s celebrate together so much,🎉,4
You made my day today,😂,2
So delicious so much,😋,8
Absolutely let me think,🤔,5
I’m in total disbelief,😱,9
"Really, I love this dish",😋,8
I feel like living my best life,😎,7
Laughing so hard right now today,😂,2
"Really, This dessert is perfect",😋,8
"Really, I’m craving more",😋,8
Why would you do that today,😡,6
Considering my options so much,🤔,5
Let me think all day,🤔,5
That’s the funniest thing ever today,😂,2
Too cool to handle so much,😎,7
Thinking deeply today,🤔,5
Rocking the cool vibes today,😎,7
I’m losing my temper right now,😡,6
"Wow, Can’t stop eating this",😋,8
You mean so much to me,❤️,0
Living my best life so much,😎,7
So tired after work so much,😴,1
I can’t believe this so much,😱,9
"Really, Party all night long",🎉,4
Can’t stop eating this all day,😋,8
"Really, My heart belongs to you",❤️,0
You mean so much to me right now,❤️,0
"Really, So flavorful and rich",😋,8
"Wow, Crying inside",😢,3
This is heartbreaking right now,😢,3
My heart is broken today,😢,3
Look at my style,😎,7
I feel like i’m in love with coding,❤️,0
Absolutely looking sharp,😎,7
"Wow, I’m so angry right now",😡,6
Such a shocking moment right now,😱,9
This meme is hilarious so much,😂,2
I feel like that’s the funniest thing ever,😂,2
Best celebration ever all day,🎉,4
"Really, Pondering over this idea",🤔,5
Funniest thing I've seen today all day,😂,2
I’m terrified today,😱,9
Rocking the cool vibes all day,😎,7
Oh my gosh all day,😱,9
"Wow, Look at my style",😎,7
I overslept again!,😴,1
I’m mad at you,😡,6
Love is in the air today,❤️,0
"Really, This is frustrating",😡,6
I feel like i feel lonely,😢,3
I need to decide!,🤔,5
Rocking the cool vibes today,😎,7
I feel like this is a tragedy,😢,3
This dessert is perfect,😋,8
My love for you grows daily all day,❤️,0
I can’t believe this happened today,😡,6
"Wow, I’m on top of the world",😎,7
Let me think all day,🤔,5
This joke is gold so much,😂,2
Can't keep my eyes open today,😴,1
Why would you do that right now,😡,6
Yawning all day so much,😴,1
Style game strong,😎,7
You crossed the line!,😡,6
I feel like you crack me up,😂,2
Cheers to success today,🎉,4
Absolutely tasting heaven right now,😋,8
"Wow, Such a sad story",😢,3
Absolutely this question is tricky,🤔,5
"Wow, Too cool to handle",😎,7
"Wow, I’m not sure about this",🤔,5
"Really, Yawning all day",😴,1
Enjoying the party vibes right now,🎉,4
Everything feels wrong,😢,3
Look at my style all day,😎,7
Party all night long right now,🎉,4
I’m so angry right now all day,😡,6
I feel like i am so sad,😢,3
"Wow, Best celebration ever",🎉,4
I’m not sure about this so much,🤔,5
"Really, That was so funny",😂,2
"Really, You made my day",😂,2
"Really, This is unbelievable",😱,9
Such a tasty treat all day,😋,8
I feel lonely,😢,3
Absolutely i can’t stand this anymore,😡,6
"Wow, I’m in deep thought",🤔,5
This is making me mad today,😡,6
I’m deeply in love,❤️,0
I feel like look at my style,😎,7
Thinking deeply right now,🤔,5
"Really, Comedy at its best",😂,2
This is frustrating so much,😡,6
Feeling down today so much,😢,3
Enjoying the party vibes right now,🎉,4
"Wow, So delicious",😋,8
I can’t process this,😱,9
Absolutely i’m deeply in love,❤️,0
I adore this right now,❤️,0
So flavorful and rich!,😋,8
I am so sad today,😢,3
"Really, I need to decide",🤔,5
I feel like such a tasty treat,😋,8
I feel like happy birthday,🎉,4
"Really, You’re my everything",❤️,0
I feel like party all night long,🎉,4
My jaw dropped so much,😱,9
This is frustrating,😡,6
Absolutely that’s awesome,😎,7
Why would you do that today,😡,6
I feel like happy birthday,🎉,4
Absolutely stop annoying me,😡,6
You’re so funny so much,😂,2
That was so funny all day,😂,2
Absolutely best food ever,😋,8
This is heartbreaking right now,😢,3
This is frustrating all day,😡,6
I feel like i can’t believe this,😱,9
So tired after work!,😴,1
This is pure happiness today,❤️,0
That’s the funniest thing ever!,😂,2
Best celebration ever all day,🎉,4
Yummy food,😋,8
My love for you grows daily so much,❤️,0
I can’t believe this happened,😡,6
I overslept again all day,😴,1
This is making me furious today,😡,6
Absolutely this is a tragedy,😢,3
I feel like i feel lonely,😢,3
This scared the life out of me so much,😱,9
I feel so irritated all day,😡,6
"Wow, This is unbelievable",😱,9
Too cool to handle!,😎,7
This is my favorite thing today,❤️,0
Such a lovely day today,❤️,0
"Really, Can't keep my eyes open",😴,1
I feel like i miss those days,😢,3
Everything feels wrong right now,😢,3
So delicious today,😋,8
I feel like crying inside,😢,3
This makes me happy all day,❤️,0
Stop annoying me,😡,6
Delicious beyond words today,😋,8
"Really, It’s a tough choice",🤔,5
Should I go for it so much,🤔,5
I feel like this is heartbreaking,😢,3
Let me think so much,🤔,5
I’m thinking about it so much,🤔,5
"Really, Time to pop the champagne",🎉,4
Rocking the cool vibes today,😎,7
I feel like i’m analyzing the situation,🤔,5
You’re so funny right now,😂,2
Absolutely living my best life,😎,7
That’s the funniest thing ever all day,😂,2
I’m frozen in fear,😱,9
"Wow, Living my best life",😎,7
That scared me!,😱,9
You made my day!,😂,2
I feel like tears won’t stop coming,😢,3
"Wow, That was so funny",😂,2
I feel like party all night long,🎉,4
Absolutely so delicious,😋,8
Victory is ours!,🎉,4
This is unacceptable today,😡,6
"Wow, I’m so shocked",😱,9
It’s a tough choice right now,🤔,5
This is heartbreaking right now,😢,3
Cheers to success today,🎉,4
This is heartbreaking!,😢,3
New year celebration,🎉,4
Considering my options so much,🤔,5
Sadness fills my heart!,😢,3
Absolutely yawning all day,😴,1
"Really, I can’t stop loving this",❤️,0
I’m terrified today,😱,9
This is mouth-watering all day,😋,8
Feeling lazy and sleepy!,😴,1
I’m feeling cool today all day,😎,7
I’m so shocked right now,😱,9
I feel so irritated!,😡,6
"Really, That’s awesome",😎,7
"Wow, Such a tasty treat",😋,8
Victory is ours!,🎉,4
"Really, I’m falling asleep here",😴,1
"Wow, You crack me up",😂,2
Absolutely food makes me happy,😋,8
Feeling lazy and sleepy,😴,1
"Wow, You crack me up",😂,2
"Wow, Feeling like a boss",😎,7
I feel like i’m not sure about this,🤔,5
"Really, Thinking deeply",🤔,5
"Wow, I’m thinking about it",🤔,5
"Really, Such a lovely day",❤️,0
"Really, Bed is calling me",😴,1
I’m not sure about this right now,🤔,5
This is pure happiness,❤️,0
So delicious all day,😋,8
I feel like this scared the life out of me,😱,9
I can’t believe this happened today,😡,6
This is making me mad!,😡,6
You crack me up today,😂,2
You mean so much to me all day,❤️,0
Cheers to success today,🎉,4
Absolutely i love this dish,😋,8
Feeling lazy and sleepy so much,😴,1
I’m feeling cool today right now,😎,7
I feel like this is my favorite thing,❤️,0
Too sleepy to focus today,😴,1
I’m frozen in fear so much,😱,9
This dessert is perfect all day,😋,8
This dessert is perfect all day,😋,8
I feel like i’m in total disbelief,😱,9
I love programming,❤️,0
I feel like this scared the life out of me,😱,9
Too cool to handle today,😎,7
I’m losing my temper today,😡,6
I’m confident about this so much,😎,7
I’m so shocked today,😱,9
"Really, What should I do next",🤔,5
"Really, Too cool to handle",😎,7
