sentence,emoji,text_clean
I truly adore this moment..,❤️,i truly adore this moment
I need to go to bed early tonight.,😴,i need to go to bed early tonight
I truly adore this moment. lol,❤️,i truly adore this moment lol
Absolute fire content! haha,🔥,absolute fire content haha
That joke was hilarious! omg,😂,that joke was hilarious omg
I can’t believe this happened..,😡,i can t believe this happened
I miss you so much. please,🥺,i miss you so much please
That’s so touching. please,🥺,that s so touching please
This is so frustrating.,😡,this is so frustrating
I need to go to bed early tonight. omg,😴,i need to go to bed early tonight omg
Please help me with this. omg,🙏,please help me with this omg
That joke was hilarious!.,😂,that joke was hilarious
You made my day so funny!.,😂,you made my day so funny
This is so frustrating. haha,😡,this is so frustrating haha
I love programming so much.!,❤️,i love programming so much
I can't stop laughing at this!.,😂,i can t stop laughing at this
Life feels heavy. lol,😢,life feels heavy lol
Good vibes only. haha,😊,good vibes only haha
I’m praying for you..,🙏,i m praying for you
You mean the world to me..,❤️,you mean the world to me
Good vibes only. please,😊,good vibes only please
I’m so sleepy after lunch. haha,😴,i m so sleepy after lunch haha
You broke my heart.,🥺,you broke my heart
Absolute fire content!.,🔥,absolute fire content
I totally agree with you.,👍,i totally agree with you
You mean the world to me.!,❤️,you mean the world to me
That performance was fire! haha,🔥,that performance was fire haha
I need to think about it. please,🤔,i need to think about it please
I miss you so much.,🥺,i miss you so much
That made me furious.,😡,that made me furious
It’s my special day today..,🎂,it s my special day today
Let’s celebrate your success! please,🥳,let s celebrate your success please
This game is lit!,🔥,this game is lit
Delicious meals make me happy..,😋,delicious meals make me happy
I miss you so much. lol,🥺,i miss you so much lol
This news breaks my heart.,😢,this news breaks my heart
Let’s cut the cake!.,🎂,let s cut the cake
I stayed up too late yesterday.!,😴,i stayed up too late yesterday
I’m wondering what to do. please,🤔,i m wondering what to do please
Feeling drowsy at work.,😴,feeling drowsy at work
I can’t believe my eyes. omg,😱,i can t believe my eyes omg
This lecture is making me sleepy. haha,😴,this lecture is making me sleepy haha
I’m feeling sad today. omg,😢,i m feeling sad today omg
What a scary moment!.,😱,what a scary moment
That’s a great idea! please,👍,that s a great idea please
This news breaks my heart. haha,😢,this news breaks my heart haha
Grateful for everything.,🙏,grateful for everything
This news breaks my heart. haha,😢,this news breaks my heart haha
We had so much fun at the celebration..,🥳,we had so much fun at the celebration
This news breaks my heart.!,😢,this news breaks my heart
This lecture is making me sleepy. lol,😴,this lecture is making me sleepy lol
Absolute fire content!.,🔥,absolute fire content
That’s an interesting idea. haha,🤔,that s an interesting idea haha
That’s so hot right now.!,🔥,that s so hot right now
Let’s cut the cake! omg,🎂,let s cut the cake omg
I stayed up too late yesterday. please,😴,i stayed up too late yesterday please
That’s so shocking!.,😱,that s so shocking
Sending you lots of love. omg,❤️,sending you lots of love omg
You broke my heart..,🥺,you broke my heart
I can’t stop crying. lol,😢,i can t stop crying lol
Absolute fire content!.,🔥,absolute fire content
That works perfectly..,👍,that works perfectly
That made me furious..,😡,that made me furious
I’m praying for you. haha,🙏,i m praying for you haha
Let’s celebrate your success!!,🥳,let s celebrate your success
This lecture is making me sleepy.,😴,this lecture is making me sleepy
Yummy! I love this dish.,😋,yummy i love this dish
That’s an interesting idea.,🤔,that s an interesting idea
Let’s cut the cake! omg,🎂,let s cut the cake omg
Thank you so much.!,🙏,thank you so much
We celebrated with a big birthday cake..,🎂,we celebrated with a big birthday cake
You mean the world to me.!,❤️,you mean the world to me
Good job!!,👍,good job
I’m lost in thought. please,🤔,i m lost in thought please
I’m craving something sweet. please,😋,i m craving something sweet please
I’m really angry right now. haha,😡,i m really angry right now haha
This is so frustrating. please,😡,this is so frustrating please
I can’t stop crying. lol,😢,i can t stop crying lol
Good job!.,👍,good job
I’m lost in thought. omg,🤔,i m lost in thought omg
Cheers to the good times!,🥳,cheers to the good times
I need to think about it..,🤔,i need to think about it
That’s so shocking! lol,😱,that s so shocking lol
I’m feeling emotional right now. haha,🥺,i m feeling emotional right now haha
I’m craving something sweet..,😋,i m craving something sweet
I’m craving something sweet.!,😋,i m craving something sweet
I’m lost in thought. please,🤔,i m lost in thought please
I’m feeling emotional right now. haha,🥺,i m feeling emotional right now haha
That works perfectly. omg,👍,that works perfectly omg
Wishing you the sweetest birthday.,🎂,wishing you the sweetest birthday
This is terrifying. please,😱,this is terrifying please
Sending you lots of love..,❤️,sending you lots of love
I can’t stop crying.,😢,i can t stop crying
I’m upset with the situation.,😡,i m upset with the situation
Time to party all night! please,🥳,time to party all night please
It’s my special day today.,🎂,it s my special day today
Well done! lol,👍,well done lol
Happy birthday to you!,🎂,happy birthday to you
That’s a great idea! please,👍,that s a great idea please
Life feels heavy. omg,😢,life feels heavy omg
That performance was fire! haha,🔥,that performance was fire haha
We celebrated with a big birthday cake. lol,🎂,we celebrated with a big birthday cake lol
We celebrated with a big birthday cake. please,🎂,we celebrated with a big birthday cake please
Good vibes only. haha,😊,good vibes only haha
I’m so sleepy after lunch. lol,😴,i m so sleepy after lunch lol
I’m feeling sad today.!,😢,i m feeling sad today
That’s so sweet of you. omg,😊,that s so sweet of you omg
I’m laughing so hard right now. omg,😂,i m laughing so hard right now omg
This is terrifying. please,😱,this is terrifying please
I can’t stop crying. haha,😢,i can t stop crying haha
Happy birthday to you! omg,🎂,happy birthday to you omg
Wishing you the sweetest birthday.!,🎂,wishing you the sweetest birthday
I truly adore this moment.,❤️,i truly adore this moment
I’m wondering what to do.,🤔,i m wondering what to do
Sending you lots of love. please,❤️,sending you lots of love please
Grateful for everything.,🙏,grateful for everything
I stayed up too late yesterday.,😴,i stayed up too late yesterday
What a scary moment! lol,😱,what a scary moment lol
What a scary moment!.,😱,what a scary moment
I’m feeling happy today. lol,😊,i m feeling happy today lol
I love programming so much.!,❤️,i love programming so much
That’s so hot right now. please,🔥,that s so hot right now please
It’s my special day today. please,🎂,it s my special day today please
You’re on fire today! omg,🔥,you re on fire today omg
I’m feeling emotional right now..,🥺,i m feeling emotional right now
I’m feeling happy today. haha,😊,i m feeling happy today haha
I’m upset with the situation..,😡,i m upset with the situation
I miss you so much.,🥺,i miss you so much
You have a lovely smile. please,😊,you have a lovely smile please
Yummy! I love this dish. haha,😋,yummy i love this dish haha
You made my day so funny! please,😂,you made my day so funny please
I feel blessed and happy. please,😊,i feel blessed and happy please
This is so frustrating. please,😡,this is so frustrating please
You mean the world to me. lol,❤️,you mean the world to me lol
I can't stop laughing at this! please,😂,i can t stop laughing at this please
This news breaks my heart. lol,😢,this news breaks my heart lol
That’s so hot right now..,🔥,that s so hot right now
Happy birthday to you!.,🎂,happy birthday to you
I feel blessed and happy..,😊,i feel blessed and happy
This news breaks my heart.,😢,this news breaks my heart
Yummy! I love this dish. omg,😋,yummy i love this dish omg
Feeling down right now. please,😢,feeling down right now please
Life feels heavy. omg,😢,life feels heavy omg
I love programming so much. haha,❤️,i love programming so much haha
What a scary moment!!,😱,what a scary moment
Yummy! I love this dish. please,😋,yummy i love this dish please
That cake looks so good. haha,😋,that cake looks so good haha
That’s a great idea!.,👍,that s a great idea
Blessings to you. omg,🙏,blessings to you omg
This is terrifying. please,😱,this is terrifying please
This is so frustrating.!,😡,this is so frustrating
Life feels heavy.!,😢,life feels heavy
This news breaks my heart. haha,😢,this news breaks my heart haha
Happy birthday to you! please,🎂,happy birthday to you please
Why would they do that? haha,🤔,why would they do that haha
We celebrated with a big birthday cake..,🎂,we celebrated with a big birthday cake
This food tastes amazing. haha,😋,this food tastes amazing haha
You broke my heart.,🥺,you broke my heart
Thank you so much..,🙏,thank you so much
That performance was fire!,🔥,that performance was fire
That performance was fire! please,🔥,that performance was fire please
Absolute fire content!.,🔥,absolute fire content
Wishing you the sweetest birthday. haha,🎂,wishing you the sweetest birthday haha
That’s so touching..,🥺,that s so touching
I’m in complete shock. haha,😱,i m in complete shock haha
This lecture is making me sleepy. haha,😴,this lecture is making me sleepy haha
You mean the world to me.!,❤️,you mean the world to me
I need to think about it.,🤔,i need to think about it
Cheers to the good times!,🥳,cheers to the good times
I stayed up too late yesterday. lol,😴,i stayed up too late yesterday lol
Absolute fire content!,🔥,absolute fire content
This food tastes amazing. haha,😋,this food tastes amazing haha
That performance was fire! haha,🔥,that performance was fire haha
Let’s celebrate your success! lol,🥳,let s celebrate your success lol
You have a lovely smile. please,😊,you have a lovely smile please
You broke my heart..,🥺,you broke my heart
Thank you so much. omg,🙏,thank you so much omg
You have a lovely smile.!,😊,you have a lovely smile
Cheers to the good times! please,🥳,cheers to the good times please
I’m upset with the situation..,😡,i m upset with the situation
That joke was hilarious! lol,😂,that joke was hilarious lol
I’m feeling happy today. omg,😊,i m feeling happy today omg
I stayed up too late yesterday.,😴,i stayed up too late yesterday
I’m feeling emotional right now. haha,🥺,i m feeling emotional right now haha
This food tastes amazing. lol,😋,this food tastes amazing lol
Feeling down right now.,😢,feeling down right now
You made my day so funny! please,😂,you made my day so funny please
Feeling drowsy at work.,😴,feeling drowsy at work
I’m craving something sweet.,😋,i m craving something sweet
Time to party all night! omg,🥳,time to party all night omg
Time to party all night!!,🥳,time to party all night
I stayed up too late yesterday. omg,😴,i stayed up too late yesterday omg
Life feels heavy. omg,😢,life feels heavy omg
That’s a great idea! please,👍,that s a great idea please
You mean the world to me.,❤️,you mean the world to me
I’m feeling emotional right now. omg,🥺,i m feeling emotional right now omg
Happy birthday to you! haha,🎂,happy birthday to you haha
Grateful for everything. please,🙏,grateful for everything please
I’m feeling emotional right now. haha,🥺,i m feeling emotional right now haha
We had so much fun at the celebration.!,🥳,we had so much fun at the celebration
This game is lit!!,🔥,this game is lit
Why would they do that? haha,🤔,why would they do that haha
I’m craving something sweet. lol,😋,i m craving something sweet lol
That’s so shocking! lol,😱,that s so shocking lol
You broke my heart. please,🥺,you broke my heart please
I’m wondering what to do..,🤔,i m wondering what to do
I can’t stop crying. lol,😢,i can t stop crying lol
That made me furious. omg,😡,that made me furious omg
I need to think about it. please,🤔,i need to think about it please
I’m in complete shock. haha,😱,i m in complete shock haha
Why would they do that?,🤔,why would they do that
You have a lovely smile.,😊,you have a lovely smile
We celebrated with a big birthday cake. omg,🎂,we celebrated with a big birthday cake omg
You made my day so funny! lol,😂,you made my day so funny lol
That joke was hilarious!,😂,that joke was hilarious
Let’s cut the cake! omg,🎂,let s cut the cake omg
This is so frustrating..,😡,this is so frustrating
Feeling drowsy at work.,😴,feeling drowsy at work
I totally agree with you. omg,👍,i totally agree with you omg
You have a lovely smile..,😊,you have a lovely smile
I can't stop laughing at this! omg,😂,i can t stop laughing at this omg
Good vibes only. omg,😊,good vibes only omg
I’m lost in thought. lol,🤔,i m lost in thought lol
You’re on fire today!!,🔥,you re on fire today
I’m craving something sweet.!,😋,i m craving something sweet
Good vibes only. omg,😊,good vibes only omg
This is terrifying. haha,😱,this is terrifying haha
I totally agree with you. lol,👍,i totally agree with you lol
I’m really angry right now. lol,😡,i m really angry right now lol
Grateful for everything.,🙏,grateful for everything
This is so frustrating. haha,😡,this is so frustrating haha
Thank you so much. lol,🙏,thank you so much lol
I’m so sleepy after lunch.,😴,i m so sleepy after lunch
That’s so shocking! please,😱,that s so shocking please
That’s so touching. omg,🥺,that s so touching omg
You’re on fire today!.,🔥,you re on fire today
I feel blessed and happy.!,😊,i feel blessed and happy
Please help me with this..,🙏,please help me with this
That’s so sweet of you. omg,😊,that s so sweet of you omg
You’re on fire today! please,🔥,you re on fire today please
Love is in the air..,❤️,love is in the air
I’m praying for you. please,🙏,i m praying for you please
Delicious meals make me happy. haha,😋,delicious meals make me happy haha
I feel blessed and happy.!,😊,i feel blessed and happy
This news breaks my heart. lol,😢,this news breaks my heart lol
I’m laughing so hard right now.,😂,i m laughing so hard right now
That joke was hilarious! lol,😂,that joke was hilarious lol
Good vibes only..,😊,good vibes only
Love is in the air. lol,❤️,love is in the air lol
I’m laughing so hard right now..,😂,i m laughing so hard right now
That’s so touching.!,🥺,that s so touching
Blessings to you. omg,🙏,blessings to you omg
Happy birthday to you! haha,🎂,happy birthday to you haha
That made me furious. omg,😡,that made me furious omg
I’m in complete shock.!,😱,i m in complete shock
That works perfectly. omg,👍,that works perfectly omg
This food tastes amazing. haha,😋,this food tastes amazing haha
Thank you so much.!,🙏,thank you so much
This is terrifying. haha,😱,this is terrifying haha
That’s so hot right now. lol,🔥,that s so hot right now lol
You broke my heart.,🥺,you broke my heart
I need to think about it.!,🤔,i need to think about it
That works perfectly. please,👍,that works perfectly please
That’s an interesting idea.,🤔,that s an interesting idea
That’s so shocking!!,😱,that s so shocking
Happy birthday to you!,🎂,happy birthday to you
That’s so hot right now.!,🔥,that s so hot right now
I truly adore this moment.!,❤️,i truly adore this moment
I’m upset with the situation. please,😡,i m upset with the situation please
I can't stop laughing at this!,😂,i can t stop laughing at this
This is comedy gold!.,😂,this is comedy gold
We celebrated with a big birthday cake. omg,🎂,we celebrated with a big birthday cake omg
That’s a great idea! lol,👍,that s a great idea lol
I can’t believe this happened. haha,😡,i can t believe this happened haha
That’s so shocking! lol,😱,that s so shocking lol
Love is in the air.,❤️,love is in the air
Good job! haha,👍,good job haha
You made my day so funny!!,😂,you made my day so funny
Blessings to you. please,🙏,blessings to you please
It’s party time! lol,🥳,it s party time lol
That’s so sweet of you. omg,😊,that s so sweet of you omg
I can’t believe my eyes. haha,😱,i can t believe my eyes haha
I need to think about it.!,🤔,i need to think about it
I’m upset with the situation. lol,😡,i m upset with the situation lol
This is terrifying.!,😱,this is terrifying
I miss you so much. haha,🥺,i miss you so much haha
Good job!!,👍,good job
It’s party time!,🥳,it s party time
Wishing you the sweetest birthday. haha,🎂,wishing you the sweetest birthday haha
We celebrated with a big birthday cake..,🎂,we celebrated with a big birthday cake
I can't stop laughing at this! haha,😂,i can t stop laughing at this haha
Time to party all night!,🥳,time to party all night
That’s an interesting idea. lol,🤔,that s an interesting idea lol
That joke was hilarious! haha,😂,that joke was hilarious haha
Let’s cut the cake! lol,🎂,let s cut the cake lol
I’m so sleepy after lunch. omg,😴,i m so sleepy after lunch omg
I can’t believe my eyes. omg,😱,i can t believe my eyes omg
You made my day so funny!.,😂,you made my day so funny
Please don’t leave me. haha,🥺,please don t leave me haha
Love is in the air. haha,❤️,love is in the air haha
I need to go to bed early tonight..,😴,i need to go to bed early tonight
I’m feeling sad today. haha,😢,i m feeling sad today haha
That’s a great idea!!,👍,that s a great idea
That’s a great idea! omg,👍,that s a great idea omg
I’m laughing so hard right now. omg,😂,i m laughing so hard right now omg
I can’t stop crying.,😢,i can t stop crying
That’s so shocking!!,😱,that s so shocking
This food tastes amazing. lol,😋,this food tastes amazing lol
I’m feeling emotional right now. omg,🥺,i m feeling emotional right now omg
I totally agree with you. haha,👍,i totally agree with you haha
Well done! omg,👍,well done omg
Please don’t leave me. haha,🥺,please don t leave me haha
I need to think about it..,🤔,i need to think about it
This is so frustrating.,😡,this is so frustrating
That performance was fire!,🔥,that performance was fire
Cheers to the good times! lol,🥳,cheers to the good times lol
I’m feeling sad today.!,😢,i m feeling sad today
Happy birthday to you!.,🎂,happy birthday to you
Good vibes only.,😊,good vibes only
Grateful for everything.!,🙏,grateful for everything
I miss you so much. haha,🥺,i miss you so much haha
I feel blessed and happy. lol,😊,i feel blessed and happy lol
I’m craving something sweet..,😋,i m craving something sweet
Life feels heavy. omg,😢,life feels heavy omg
You made my day so funny! please,😂,you made my day so funny please
I can’t believe my eyes.!,😱,i can t believe my eyes
I stayed up too late yesterday..,😴,i stayed up too late yesterday
I feel blessed and happy.,😊,i feel blessed and happy
Why would they do that? lol,🤔,why would they do that lol
Let’s celebrate your success! omg,🥳,let s celebrate your success omg
I’m feeling sad today.,😢,i m feeling sad today
Happy birthday to you!,🎂,happy birthday to you
I’m really angry right now.!,😡,i m really angry right now
I totally agree with you.!,👍,i totally agree with you
We had so much fun at the celebration. lol,🥳,we had so much fun at the celebration lol
I’m upset with the situation..,😡,i m upset with the situation
Yummy! I love this dish. lol,😋,yummy i love this dish lol
Please don’t leave me. lol,🥺,please don t leave me lol
This is so frustrating.!,😡,this is so frustrating
Well done! lol,👍,well done lol
Sending you lots of love. omg,❤️,sending you lots of love omg
Well done! please,👍,well done please
I’m really angry right now..,😡,i m really angry right now
I stayed up too late yesterday..,😴,i stayed up too late yesterday
It’s party time! lol,🥳,it s party time lol
Love is in the air. omg,❤️,love is in the air omg
That cake looks so good. please,😋,that cake looks so good please
That’s an interesting idea. please,🤔,that s an interesting idea please
I’m wondering what to do..,🤔,i m wondering what to do
That’s so touching. lol,🥺,that s so touching lol
Delicious meals make me happy.,😋,delicious meals make me happy
We celebrated with a big birthday cake. omg,🎂,we celebrated with a big birthday cake omg
I’m upset with the situation. lol,😡,i m upset with the situation lol
That cake looks so good. omg,😋,that cake looks so good omg
Time to party all night! lol,🥳,time to party all night lol
This food tastes amazing. omg,😋,this food tastes amazing omg
Please don’t leave me. haha,🥺,please don t leave me haha
That made me furious. haha,😡,that made me furious haha
Love is in the air..,❤️,love is in the air
This lecture is making me sleepy.!,😴,this lecture is making me sleepy
Grateful for everything.,🙏,grateful for everything
This food tastes amazing. omg,😋,this food tastes amazing omg
That’s an interesting idea. lol,🤔,that s an interesting idea lol
This lecture is making me sleepy.!,😴,this lecture is making me sleepy
I’m in complete shock. omg,😱,i m in complete shock omg
That’s so sweet of you. please,😊,that s so sweet of you please
I’m in complete shock. haha,😱,i m in complete shock haha
You made my day so funny! haha,😂,you made my day so funny haha
That’s so touching.!,🥺,that s so touching
Sending you lots of love. please,❤️,sending you lots of love please
It’s my special day today. omg,🎂,it s my special day today omg
It’s my special day today. haha,🎂,it s my special day today haha
I can’t believe this happened. please,😡,i can t believe this happened please
Let’s celebrate your success! omg,🥳,let s celebrate your success omg
Time to party all night! lol,🥳,time to party all night lol
It’s my special day today. lol,🎂,it s my special day today lol
Life feels heavy.!,😢,life feels heavy
I need to go to bed early tonight. omg,😴,i need to go to bed early tonight omg
This is so frustrating. lol,😡,this is so frustrating lol
You’re on fire today!.,🔥,you re on fire today
This news breaks my heart. please,😢,this news breaks my heart please
I’m in complete shock..,😱,i m in complete shock
I’m feeling sad today. haha,😢,i m feeling sad today haha
I’m wondering what to do. omg,🤔,i m wondering what to do omg
That’s so sweet of you. lol,😊,that s so sweet of you lol
This is terrifying. lol,😱,this is terrifying lol
That cake looks so good.!,😋,that cake looks so good
You made my day so funny! omg,😂,you made my day so funny omg
What a scary moment! please,😱,what a scary moment please
That’s so shocking!,😱,that s so shocking
That’s an interesting idea. lol,🤔,that s an interesting idea lol
That’s a great idea! please,👍,that s a great idea please
That’s a great idea!.,👍,that s a great idea
We celebrated with a big birthday cake.!,🎂,we celebrated with a big birthday cake
We celebrated with a big birthday cake..,🎂,we celebrated with a big birthday cake
I’m feeling sad today. lol,😢,i m feeling sad today lol
You’re on fire today! please,🔥,you re on fire today please
Wishing you the sweetest birthday. please,🎂,wishing you the sweetest birthday please
I’m feeling emotional right now. omg,🥺,i m feeling emotional right now omg
I truly adore this moment. haha,❤️,i truly adore this moment haha
We had so much fun at the celebration.!,🥳,we had so much fun at the celebration
I love programming so much. please,❤️,i love programming so much please
Good vibes only.!,😊,good vibes only
I miss you so much.,🥺,i miss you so much
Yummy! I love this dish. please,😋,yummy i love this dish please
We celebrated with a big birthday cake.!,🎂,we celebrated with a big birthday cake
That’s a great idea!,👍,that s a great idea
That works perfectly. lol,👍,that works perfectly lol
I can’t believe my eyes. haha,😱,i can t believe my eyes haha
Feeling down right now. lol,😢,feeling down right now lol
Grateful for everything.!,🙏,grateful for everything
We celebrated with a big birthday cake. haha,🎂,we celebrated with a big birthday cake haha
I’m in complete shock..,😱,i m in complete shock
Why would they do that? lol,🤔,why would they do that lol
I can't stop laughing at this!.,😂,i can t stop laughing at this
I stayed up too late yesterday. lol,😴,i stayed up too late yesterday lol
That’s so touching. omg,🥺,that s so touching omg
You made my day so funny! omg,😂,you made my day so funny omg
That’s so sweet of you..,😊,that s so sweet of you
I’m lost in thought. lol,🤔,i m lost in thought lol
I can’t believe this happened. lol,😡,i can t believe this happened lol
I can’t believe this happened. haha,😡,i can t believe this happened haha
Wishing you the sweetest birthday. haha,🎂,wishing you the sweetest birthday haha
Love is in the air. lol,❤️,love is in the air lol
I’m wondering what to do. omg,🤔,i m wondering what to do omg
Good vibes only. haha,😊,good vibes only haha
I’m lost in thought. omg,🤔,i m lost in thought omg
We had so much fun at the celebration. omg,🥳,we had so much fun at the celebration omg
That’s so sweet of you. please,😊,that s so sweet of you please
I’m laughing so hard right now..,😂,i m laughing so hard right now
This lecture is making me sleepy. lol,😴,this lecture is making me sleepy lol
Please don’t leave me.,🥺,please don t leave me
Feeling drowsy at work. omg,😴,feeling drowsy at work omg
I can’t believe this happened. omg,😡,i can t believe this happened omg
Grateful for everything.,🙏,grateful for everything
I need to think about it. omg,🤔,i need to think about it omg
Please help me with this..,🙏,please help me with this
That works perfectly. lol,👍,that works perfectly lol
That’s so shocking!!,😱,that s so shocking
I’m upset with the situation. omg,😡,i m upset with the situation omg
Please don’t leave me. lol,🥺,please don t leave me lol
Well done! haha,👍,well done haha
That works perfectly..,👍,that works perfectly
It’s party time!!,🥳,it s party time
I love programming so much. omg,❤️,i love programming so much omg
I can’t believe this happened.,😡,i can t believe this happened
I’m wondering what to do..,🤔,i m wondering what to do
That joke was hilarious!!,😂,that joke was hilarious
We celebrated with a big birthday cake.!,🎂,we celebrated with a big birthday cake
I’m craving something sweet..,😋,i m craving something sweet
I can’t believe this happened..,😡,i can t believe this happened
Blessings to you. haha,🙏,blessings to you haha
That works perfectly. please,👍,that works perfectly please
That’s a great idea! haha,👍,that s a great idea haha
Feeling drowsy at work. omg,😴,feeling drowsy at work omg
I miss you so much. omg,🥺,i miss you so much omg
I’m lost in thought. omg,🤔,i m lost in thought omg
I can't stop laughing at this!!,😂,i can t stop laughing at this
Wishing you the sweetest birthday. omg,🎂,wishing you the sweetest birthday omg
Well done! lol,👍,well done lol
You mean the world to me.,❤️,you mean the world to me
Sending you lots of love. omg,❤️,sending you lots of love omg
I stayed up too late yesterday. haha,😴,i stayed up too late yesterday haha
Well done! haha,👍,well done haha
Cheers to the good times! please,🥳,cheers to the good times please
Feeling drowsy at work. omg,😴,feeling drowsy at work omg
That’s so sweet of you. omg,😊,that s so sweet of you omg
Happy birthday to you!.,🎂,happy birthday to you
Please help me with this.,🙏,please help me with this
This is comedy gold!.,😂,this is comedy gold
This is so frustrating. lol,😡,this is so frustrating lol
I’m feeling happy today. omg,😊,i m feeling happy today omg
We had so much fun at the celebration. haha,🥳,we had so much fun at the celebration haha
This game is lit! lol,🔥,this game is lit lol
That made me furious.,😡,that made me furious
Thank you so much..,🙏,thank you so much
This lecture is making me sleepy. lol,😴,this lecture is making me sleepy lol
You broke my heart. haha,🥺,you broke my heart haha
Good job! haha,👍,good job haha
That’s so touching..,🥺,that s so touching
I love programming so much.!,❤️,i love programming so much
Grateful for everything..,🙏,grateful for everything
I totally agree with you. haha,👍,i totally agree with you haha
Why would they do that?.,🤔,why would they do that
Thank you so much.,🙏,thank you so much
That joke was hilarious! lol,😂,that joke was hilarious lol
I’m wondering what to do..,🤔,i m wondering what to do
I’m feeling happy today.!,😊,i m feeling happy today
We had so much fun at the celebration.,🥳,we had so much fun at the celebration
We had so much fun at the celebration. omg,🥳,we had so much fun at the celebration omg
Yummy! I love this dish. haha,😋,yummy i love this dish haha
You have a lovely smile..,😊,you have a lovely smile
Let’s cut the cake! lol,🎂,let s cut the cake lol
This news breaks my heart..,😢,this news breaks my heart
Good vibes only..,😊,good vibes only
I’m praying for you..,🙏,i m praying for you
Life feels heavy.,😢,life feels heavy
Please don’t leave me. please,🥺,please don t leave me please
I’m feeling happy today. haha,😊,i m feeling happy today haha
This is terrifying. omg,😱,this is terrifying omg
Absolute fire content!.,🔥,absolute fire content
Please help me with this.!,🙏,please help me with this
This is so frustrating.,😡,this is so frustrating
I miss you so much. omg,🥺,i miss you so much omg
I can’t stop crying.,😢,i can t stop crying
Love is in the air.,❤️,love is in the air
Well done!.,👍,well done
You mean the world to me..,❤️,you mean the world to me
You made my day so funny!!,😂,you made my day so funny
This lecture is making me sleepy.!,😴,this lecture is making me sleepy
I’m lost in thought. please,🤔,i m lost in thought please
I’m craving something sweet. omg,😋,i m craving something sweet omg
I’m lost in thought. omg,🤔,i m lost in thought omg
Feeling drowsy at work. lol,😴,feeling drowsy at work lol
I’m in complete shock.,😱,i m in complete shock
I can’t believe this happened. haha,😡,i can t believe this happened haha
You’re on fire today! haha,🔥,you re on fire today haha
You broke my heart.,🥺,you broke my heart
I’m feeling happy today. omg,😊,i m feeling happy today omg
I’m feeling emotional right now.!,🥺,i m feeling emotional right now
Delicious meals make me happy. please,😋,delicious meals make me happy please
It’s party time! haha,🥳,it s party time haha
Time to party all night! omg,🥳,time to party all night omg
